shipmentId;districtName;townName;;;;;
be065fdd-5883-46a1-ad8c-6afb34af7ad3;QUILPUÉ;QUILPUÉ - EL BELLOTO;;;;;
47e18620-6aba-480c-9572-a225c1b4a565;ANTOFAGASTA;ANTOFAGASTA - CALETA COLOSO;;Total;Sin Town;Iguales;Formato de guion
7f88e076-cf12-4554-86a6-c624234472c6;PEÑALOLÉN;;;359;155;136;68
cbf74190-638c-4e5c-94ec-a76688fe6268;ESTACIÓN CENTRAL;;;;;;
2d30d64d-ffe9-42eb-a55d-41388fe610bc;SAN RAMÓN;;;;;;
84b8a417-6cd7-40dc-87b3-7a526f355cea;LA FLORIDA;;;;;;
1225d53f-fc52-4cb4-9994-f085d9399d74;OVALLE;OVALLE - SOTAQUI;;;;;
d6a09148-1158-44bd-af2e-6094e8ce46d2;SAN RAMÓN;;;;;;
7e34a128-ddaa-4378-85a6-8b173f2bf17c;TEMUCO;TEMUCO - TEMUCO;;;;;
96ef89a4-f226-40f1-9fd9-46b05b7b8eee;CORONEL;CORONEL;;;;;
1516f75b-8959-42ae-adfa-331100683bad;YERBAS BUENAS;YERBAS BUENAS;;;;;
339d3cc1-fb2c-4225-abc6-32550c224792;LA REINA;;;;;;
f3f53145-ca5f-490a-aa00-8311e16af767;EL BOSQUE;;;;;;
ed370130-c168-49a9-8c48-17a5ac4c9afa;ESTACIÓN CENTRAL;;;;;;
dd1c316e-88d7-456f-bf99-05c011db3715;ANCUD;ANCUD - CHACAO;;;;;
f37dae87-dcde-4bcd-a2ff-cc7e4bad3726;CONCHALÍ;;;;;;
c75b1715-e5fe-41b2-84a9-83f7940ab981;SAN JOAQUÍN;;;;;;
3c314914-5cb6-4491-a6e7-8a1341242692;INDEPENDENCIA;;;;;;
59bf28a3-1600-458c-9437-c52000f33e8d;LAS CONDES;;;;;;
9f24bac3-0215-40d8-ad56-195aaf043fc4;MAULE;MAULE;;;;;
4c5d20d4-10e9-4295-bb14-fcd140d0d5fb;LA FLORIDA;;;;;;
9f6e0678-5b7f-48c3-95cb-abbd6e2f887d;LA CISTERNA;;;;;;
a46d6a42-13fb-42cf-bcd0-87ad5d391926;INDEPENDENCIA;;;;;;
5f6ab799-589a-41e7-ad94-977d31ba619d;PUCÓN;PUCÓN - CABURGA;;;;;
10b8a610-aaf9-4a72-8667-fc34f1a71a74;MONTE PATRIA;MONTE PATRIA;;;;;
cd563e6e-4e2d-4a36-8201-b736eb6340ba;MONTE PATRIA;MONTE PATRIA;;;;;
a67724b8-0170-42a3-b52d-3d4e6890ef6c;LA SERENA;LA SERENA - LA SERENA;;;;;
3ada9d72-1bd1-4db5-a20e-d1434e7a2a65;CONTULMO;CONTULMO;;;;;
75fe9a6a-8136-44c3-a060-4c26632e9272;CERRO NAVIA;;;;;;
bf55c79d-c258-4837-a08f-45cf5559b5fb;LA FLORIDA;;;;;;
7468ad3c-d695-43b4-bce8-f8add93deda4;LOS ÁNGELES;LOS ÁNGELES - SAN CARLOS DE PUREN;;;;;
c94b67d2-b574-4199-8f56-c641f7b78ab4;MACUL;;;;;;
48ee66c4-0741-4a0a-b7cb-3b1204a091d2;PROVIDENCIA;;;;;;
54228439-1aea-4e13-958e-b81b19cd6156;MAIPÚ;;;;;;
b41ff550-a835-4f34-a943-1c2cbde62f34;ALHUÉ;ALHUÉ;;;;;
